T_Name|T_UpperStateQuantumNumbers|T_LowerStateQuantumNumbers|T_Frequency|T_EinsteinA|T_EnergyLower|T_UpperStateDegeneracy
l-HC6N;v=0;hyp2|ElecStateLabel = X; S = 1; J = 2; N = 1; F1 = 1; F = 0.5; |ElecStateLabel = X; S = 1; J = 1; N = 2; F1 = 1; F = 0.5; |2823.193|2.14216e-09|0.046814|2
l-HC6N;v=0;hyp2|ElecStateLabel = X; S = 1; J = 2; N = 1; F1 = 2; F = 1.5; |ElecStateLabel = X; S = 1; J = 1; N = 2; F1 = 1; F = 0.5; |2824.1018|1.19526e-09|0.046814|4
NaO;v=1;|ElecStateLabel = X; Lambda = 1; v = 1; J = 0.5; N = 1; F_Na = 1; kronigParity = None; |ElecStateLabel = X; Lambda = 1; v = 1; J = 0.5; N = 1; F_Na = 2; kronigParity = None; |2825.8085|5.54036e-09|597.549|3
l-HC6N;v=0;hyp2|ElecStateLabel = X; S = 1; J = 2; N = 1; F1 = 3; F = 2.5; |ElecStateLabel = X; S = 1; J = 1; N = 2; F1 = 2; F = 1.5; |2826.408|2.40284e-09|0.046925|6
NaO;v=1;|ElecStateLabel = X; Lambda = 1; v = 1; J = 0.5; N = 1; F_Na = 1; kronigParity = None; |ElecStateLabel = X; Lambda = 1; v = 1; J = 0.5; N = 1; F_Na = 1; kronigParity = None; |2860.0138|1.15442e-09|597.5478|3
NaO;v=1;|ElecStateLabel = X; Lambda = 1; v = 1; J = 0.5; N = 1; F_Na = 2; kronigParity = None; |ElecStateLabel = X; Lambda = 1; v = 1; J = 0.5; N = 1; F_Na = 2; kronigParity = None; |2878.0461|3.4966e-09|597.549|5
C9H;v=0;|ElecStateLabel = X; S = 0.5; l = 1; J = 3.5; N = 4; F_H = 4; parity = -; kronigParity = e; |ElecStateLabel = X; S = 0.5; l = 1; J = 2.5; N = 3; F_H = 3; parity = +; kronigParity = e; |2890.6976|5.90441e-09|0.110309|9
C9H;v=0;|ElecStateLabel = X; S = 0.5; l = 1; J = 3.5; N = 4; F_H = 3; parity = -; kronigParity = e; |ElecStateLabel = X; S = 0.5; l = 1; J = 2.5; N = 3; F_H = 2; parity = +; kronigParity = e; |2890.953|5.62419e-09|0.110327|7
C9H;v=0;|ElecStateLabel = X; S = 0.5; l = 1; J = 3.5; N = 4; F_H = 4; parity = +; kronigParity = f; |ElecStateLabel = X; S = 0.5; l = 1; J = 2.5; N = 3; F_H = 3; parity = -; kronigParity = f; |2891.5184|5.91018e-09|0.110429|9
C9H;v=0;|ElecStateLabel = X; S = 0.5; l = 1; J = 3.5; N = 4; F_H = 3; parity = +; kronigParity = f; |ElecStateLabel = X; S = 0.5; l = 1; J = 2.5; N = 3; F_H = 2; parity = -; kronigParity = f; |2891.8113|5.62845e-09|0.110344|7
C9H;v=0;|ElecStateLabel = X; S = 0.5; l = 1; J = 3.5; N = 3; F_H = 3; parity = -; kronigParity = e; |ElecStateLabel = X; S = 0.5; l = 1; J = 2.5; N = 2; F_H = 2; parity = -; kronigParity = f; |2894.1036|4.70177e-09|27.601935|7
C9H;v=0;|ElecStateLabel = X; S = 0.5; l = 1; J = 3.5; N = 3; F_H = 4; parity = -; kronigParity = e; |ElecStateLabel = X; S = 0.5; l = 1; J = 2.5; N = 2; F_H = 3; parity = -; kronigParity = f; |2894.1117|4.93763e-09|27.601936|9
E-HC2CHCHCN;v=0;|ElecStateLabel = X; J = 1; Ka = 0; Kc = 1; F_N = 1; |ElecStateLabel = X; J = 0; Ka = 0; Kc = 0; F_N = 1; |2897.4274|1.3776e-09|0.0|3
E-HC2CHCHCN;v=0;|ElecStateLabel = X; J = 1; Ka = 0; Kc = 1; |ElecStateLabel = X; J = 0; Ka = 0; Kc = 0; |2898.4019|1.37864e-09|0.0|9
E-HC2CHCHCN;v=0;|ElecStateLabel = X; J = 1; Ka = 0; Kc = 1; F_N = 2; |ElecStateLabel = X; J = 0; Ka = 0; Kc = 0; F_N = 1; |2898.5969|1.37864e-09|0.0|5
E-HC2CHCHCN;v=0;|ElecStateLabel = X; J = 1; Ka = 0; Kc = 1; F_N = 0; |ElecStateLabel = X; J = 0; Ka = 0; Kc = 0; F_N = 1; |2900.3516|1.38065e-09|0.0|1
AG-n-C4H9CN;v=0;|ElecStateLabel = X; J = 1; Ka = 0; Kc = 1; |ElecStateLabel = X; J = 0; Ka = 0; Kc = 0; |2901.9472|1.29786e-09|307.700002|6
HC9N;v=0;hyp1|ElecStateLabel = X; J = 5; F_N = 4; |ElecStateLabel = X; J = 4; F_N = 3; |2905.1251|1.11154e-09|0.193842|9
HC9N;v=0;hyp1|ElecStateLabel = X; J = 5; F_N = 5; |ElecStateLabel = X; J = 4; F_N = 4; |2905.1827|1.12249e-09|0.193773|11
HC9N;v=0;#1|ElecStateLabel = X; J = 5; |ElecStateLabel = X; J = 4; |2905.1827|4.06856e-09|0.193813|11
HC9N;v=0;|ElecStateLabel = X; J = 5; |ElecStateLabel = X; J = 4; |2905.1827|3.50819e-09|0.193813|11
HC9N;v=0;hyp1|ElecStateLabel = X; J = 5; F_N = 6; |ElecStateLabel = X; J = 4; F_N = 5; |2905.2081|1.16933e-09|0.193828|13
NaO;v=1;|ElecStateLabel = X; Lambda = 1; v = 1; J = 0.5; N = 1; F_Na = 2; kronigParity = None; |ElecStateLabel = X; Lambda = 1; v = 1; J = 0.5; N = 1; F_Na = 1; kronigParity = None; |2912.2514|3.63895e-09|597.5478|5
CH3C9N;v=0;|ElecStateLabel = X; J = 7; K = 6; |ElecStateLabel = X; J = 6; K = 6; |2922.0435|1.519e-09|189.769592|60
CH3C9N;v=0;|ElecStateLabel = X; J = 7; K = 5; |ElecStateLabel = X; J = 6; K = 5; |2922.1271|2.8046e-09|131.899754|30
CH3C9N;v=0;|ElecStateLabel = X; J = 7; K = 4; |ElecStateLabel = X; J = 6; K = 4; |2922.1955|3.85682e-09|84.534712|30
CH3C9N;v=0;|ElecStateLabel = X; J = 7; K = 3; |ElecStateLabel = X; J = 6; K = 3; |2922.2488|4.67474e-09|47.684662|60
CH3C9N;v=0;|ElecStateLabel = X; J = 7; K = 2; |ElecStateLabel = X; J = 6; K = 2; |2922.2868|5.25969e-09|21.357535|30
CH3C9N;v=0;|ElecStateLabel = X; J = 7; K = 1; |ElecStateLabel = X; J = 6; K = 1; |2922.3096|5.60995e-09|5.558992|30
CH3C9N;v=0;|ElecStateLabel = X; J = 7; K = 0; |ElecStateLabel = X; J = 6; K = 0; |2922.3172|5.72784e-09|0.292434|30
C8H;v=0;|ElecStateLabel = X; S = 0.5; l = 1; J = 2.5; N = 2; F = 3; parity = -; kronigParity = f; |ElecStateLabel = X; S = 0.5; l = 1; J = 1.5; N = 1; F = 2; parity = +; kronigParity = f; |2933.3401|3.30996e-09|-1.0e-06|7
